0.000000000,"N"
0.042666666,"1-m"
5.802666666,"8-m"
9.472000000,"9-"
13.098666666,"4-"
15.829333333,"11-"
17.066666666,"1-m"
20.437333333,"9-"
24.234666666,"4-"
25.429333333,"8-m"
28.245333333,"1-"
29.781333333,"11-"
35.157333333,"6-m"
37.034666666,"9-"
37.888000000,"11-"
38.442666666,"6-"
38.912000000,"11-"
41.728000000,"4-"
45.269333333,"11-"
47.061333333,"1-m"
48.000000000,"9-"
49.024000000,"11-"
52.565333333,"1-m"
55.168000000,"8-"
56.448000000,"1-"
58.453333333,"11-"
59.050666666,"1-"
60.757333333,"9-"
62.634666666,"11-"
66.773333333,"8-m"
67.754666666,"4-"
68.693333333,"1-m"
71.296000000,"6-"
71.722666666,"9-"
73.813333333,"1-m"
75.520000000,"11-"
78.805333333,"1-m"
79.274666666,"9-"
82.005333333,"11-"
85.504000000,"1-m"
88.917333333,"6-m"
89.173333333,"11-"
92.970666666,"1-m"
96.938666666,"11-"
97.493333333,"6-m"
98.474666666,"11-"
100.480000000,"4-"
103.850666666,"11-m"
107.477333333,"9-"
111.146666666,"4-"
113.408000000,"8-m"
114.133333333,"11-"
114.944000000,"1-m"
116.650666666,"8-m"
117.461333333,"11-"
118.485333333,"1-m"
121.386666666,"6-"
122.197333333,"8-m"
125.866666666,"1-m"
127.744000000,"6-m"
128.554666666,"11-"
129.664000000,"1-"
133.162666666,"11-"
136.832000000,"1-m"
138.666666666,"11-m"
139.093333333,"6-m"
140.672000000,"1-m"
142.336000000,"11-"
143.616000000,"4-"
144.384000000,"1-m"
146.261333333,"6-m"
147.840000000,"1-m"
149.589333333,"11-"
151.338666666,"1-m"
153.429333333,"9-"
154.965333333,"1-m"
156.970666666,"11-"
158.762666666,"1-m"
164.266666666,"11-"
166.058666666,"1-m"
168.021333333,"9-"
169.600000000,"1-m"
171.520000000,"11-"
172.330666666,"8-m"
173.226666666,"1-m"
174.464000000,"9-"
175.274666666,"1-m"
176.256000000,"9-"
177.280000000,"11-"
178.133333333,"9-"
178.901333333,"11-"
180.821333333,"1-m"
182.826666666,"6-m"
184.661333333,"11-"
186.922666666,"8-m"
187.690666666,"1-m"
190.122666666,"3-m"
191.829333333,"1-m"
193.664000000,"11-"
195.669333333,"1-m"
197.333333333,"6-m"
199.253333333,"1-m"
200.960000000,"8-m"
202.794666666,"1-m"
204.629333333,"9-"
205.824000000,"1-m"
208.298666666,"11-"
210.090666666,"1-m"
215.552000000,"8-m"
216.960000000,"6-m"
217.258666666,"1-m"
219.776000000,"9-"
221.098666666,"1-m"
222.890666666,"11-"
224.256000000,"1-m"
227.370666666,"9-"
228.522666666,"11-"
229.376000000,"9-"
230.101333333,"11-"
231.637333333,"1-m"
235.946666666,"4-"
238.037333333,"1-m"
241.322666666,"3-m"
243.029333333,"1-m"
244.992000000,"11-"
246.485333333,"1-m"
248.576000000,"6-m"
250.197333333,"1-m"
252.330666666,"8-m"
252.970666666,"1-m"
253.397333333,"11-"
254.080000000,"6-m"
254.805333333,"1-m"
255.914666666,"9-"
256.725333333,"11-"
257.280000000,"8-m"
258.432000000,"1-"
261.248000000,"8-"
279.893333333,"N"
